"REF_DATE","GEO","DGUID","Age group","Sex","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Suicidal thoughts (15 years and over)","High 95% confidence interval, percent","Percent","239","units","0","v111448121","1.1.1.3.6","12.5","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Males","Consultation with a health professional about emotional or mental health","Number of persons","Number","223","units","0","v111448123","1.1.2.1.1","1406000","","","","0"
"2015","Canada (excluding territories)","","Total, 12 years and over","Males","Consultation with a health professional about emotional or mental health","Low 95% confidence interval, number of persons","Number","223","units","0","v111448124","1.1.2.1.2","1316300","","","","0"
"2015","Canada (excluding territories)","","Total, 12 years and over","Males","Consultation with a health professional about emotional or mental health","High 95% confidence interval, number of persons","Number","223","units","0","v111448125","1.1.2.1.3","1495600","","","","0"
"2015","Canada (excluding territories)","","Total, 12 years and over","Males","Consultation with a health professional about emotional or mental health","Percent","Percent","239","units","0","v111448126","1.1.2.1.4","9.8","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Males","Consultation with a health professional about emotional or mental health","Low 95% confidence interval, percent","Percent","239","units","0","v111448127","1.1.2.1.5","9.1","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Males","Consultation with a health professional about emotional or mental health","High 95% confidence interval, percent","Percent","239","units","0","v111448128","1.1.2.1.6","10.4","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Males","Positive mental health, flourishing","Number of persons","Number","223","units","0","v111448130","1.1.2.2.1","11737800","","","","0"
"2015","Canada (excluding territories)","","Total, 12 years and over","Males","Positive mental health, flourishing","Low 95% confidence interval, number of persons","Number","223","units","0","v111448131","1.1.2.2.2","11609200","","","","0"
"2015","Canada (excluding territories)","","Total, 12 years and over","Males","Positive mental health, flourishing","High 95% confidence interval, number of persons","Number","223","units","0","v111448132","1.1.2.2.3","11866400","","","","0"
"2015","Canada (excluding territories)","","Total, 12 years and over","Males","Positive mental health, flourishing","Percent","Percent","239","units","0","v111448133","1.1.2.2.4","81.4","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Males","Positive mental health, flourishing","Low 95% confidence interval, percent","Percent","239","units","0","v111448134","1.1.2.2.5","80.6","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Males","Positive mental health, flourishing","High 95% confidence interval, percent","Percent","239","units","0","v111448135","1.1.2.2.6","82.3","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Males","Suicidal thoughts (15 years and over)","Number of persons","Number","223","units","0","v111448137","1.1.2.3.1","1445800","","","","0"
"2015","Canada (excluding territories)","","Total, 12 years and over","Males","Suicidal thoughts (15 years and over)","Low 95% confidence interval, number of persons","Number","223","units","0","v111448138","1.1.2.3.2","1354900","","","","0"
"2015","Canada (excluding territories)","","Total, 12 years and over","Males","Suicidal thoughts (15 years and over)","High 95% confidence interval, number of persons","Number","223","units","0","v111448139","1.1.2.3.3","1536800","","","","0"
"2015","Canada (excluding territories)","","Total, 12 years and over","Males","Suicidal thoughts (15 years and over)","Percent","Percent","239","units","0","v111448140","1.1.2.3.4","10.5","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Males","Suicidal thoughts (15 years and over)","Low 95% confidence interval, percent","Percent","239","units","0","v111448141","1.1.2.3.5","9.8","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Males","Suicidal thoughts (15 years and over)","High 95% confidence interval, percent","Percent","239","units","0","v111448142","1.1.2.3.6","11.1","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Females","Consultation with a health professional about emotional or mental health","Number of persons","Number","223","units","0","v111448144","1.1.3.1.1","2676200","","","","0"
"2015","Canada (excluding territories)","","Total, 12 years and over","Females","Consultation with a health professional about emotional or mental health","Low 95% confidence interval, number of persons","Number","223","units","0","v111448145","1.1.3.1.2","2561600","","","","0"
"2015","Canada (excluding territories)","","Total, 12 years and over","Females","Consultation with a health professional about emotional or mental health","High 95% confidence interval, number of persons","Number","223","units","0","v111448146","1.1.3.1.3","2790700","","","","0"
"2015","Canada (excluding territories)","","Total, 12 years and over","Females","Consultation with a health professional about emotional or mental health","Percent","Percent","239","units","0","v111448147","1.1.3.1.4","17.9","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Females","Consultation with a health professional about emotional or mental health","Low 95% confidence interval, percent","Percent","239","units","0","v111448148","1.1.3.1.5","17.2","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Females","Consultation with a health professional about emotional or mental health","High 95% confidence interval, percent","Percent","239","units","0","v111448149","1.1.3.1.6","18.7","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Females","Positive mental health, flourishing","Number of persons","Number","223","units","0","v111448151","1.1.3.2.1","12010300","","","","0"
"2015","Canada (excluding territories)","","Total, 12 years and over","Females","Positive mental health, flourishing","Low 95% confidence interval, number of persons","Number","223","units","0","v111448152","1.1.3.2.2","11885800","","","","0"
"2015","Canada (excluding territories)","","Total, 12 years and over","Females","Positive mental health, flourishing","High 95% confidence interval, number of persons","Number","223","units","0","v111448153","1.1.3.2.3","12134800","","","","0"
"2015","Canada (excluding territories)","","Total, 12 years and over","Females","Positive mental health, flourishing","Percent","Percent","239","units","0","v111448154","1.1.3.2.4","80.3","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Females","Positive mental health, flourishing","Low 95% confidence interval, percent","Percent","239","units","0","v111448155","1.1.3.2.5","79.5","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Females","Positive mental health, flourishing","High 95% confidence interval, percent","Percent","239","units","0","v111448156","1.1.3.2.6","81.1","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Females","Suicidal thoughts (15 years and over)","Number of persons","Number","223","units","0","v111448158","1.1.3.3.1","1950800","","","","0"
"2015","Canada (excluding territories)","","Total, 12 years and over","Females","Suicidal thoughts (15 years and over)","Low 95% confidence interval, number of persons","Number","223","units","0","v111448159","1.1.3.3.2","1850800","","","","0"
"2015","Canada (excluding territories)","","Total, 12 years and over","Females","Suicidal thoughts (15 years and over)","High 95% confidence interval, number of persons","Number","223","units","0","v111448160","1.1.3.3.3","2050900","","","","0"
"2015","Canada (excluding territories)","","Total, 12 years and over","Females","Suicidal thoughts (15 years and over)","Percent","Percent","239","units","0","v111448161","1.1.3.3.4","13.6","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Females","Suicidal thoughts (15 years and over)","Low 95% confidence interval, percent","Percent","239","units","0","v111448162","1.1.3.3.5","12.9","","","","1"
"2015","Canada (excluding territories)","","Total, 12 years and over","Females","Suicidal thoughts (15 years and over)","High 95% confidence interval, percent","Percent","239","units","0","v111448163","1.1.3.3.6","14.3","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Both sexes","Consultation with a health professional about emotional or mental health","Number of persons","Number","223","units","0","v111448165","1.2.1.1.1","239300","","","","0"
"2015","Canada (excluding territories)","","12 to 17 years","Both sexes","Consultation with a health professional about emotional or mental health","Low 95% confidence interval, number of persons","Number","223","units","0","v111448166","1.2.1.1.2","208500","","","","0"
"2015","Canada (excluding territories)","","12 to 17 years","Both sexes","Consultation with a health professional about emotional or mental health","High 95% confidence interval, number of persons","Number","223","units","0","v111448167","1.2.1.1.3","270100","","","","0"
"2015","Canada (excluding territories)","","12 to 17 years","Both sexes","Consultation with a health professional about emotional or mental health","Percent","Percent","239","units","0","v111448168","1.2.1.1.4","11.3","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Both sexes","Consultation with a health professional about emotional or mental health","Low 95% confidence interval, percent","Percent","239","units","0","v111448169","1.2.1.1.5","9.8","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Both sexes","Consultation with a health professional about emotional or mental health","High 95% confidence interval, percent","Percent","239","units","0","v111448170","1.2.1.1.6","12.7","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Both sexes","Positive mental health, flourishing","Number of persons","Number","223","units","0","v111448172","1.2.1.2.1","1837900","","","","0"
"2015","Canada (excluding territories)","","12 to 17 years","Both sexes","Positive mental health, flourishing","Low 95% confidence interval, number of persons","Number","223","units","0","v111448173","1.2.1.2.2","1800900","","","","0"
"2015","Canada (excluding territories)","","12 to 17 years","Both sexes","Positive mental health, flourishing","High 95% confidence interval, number of persons","Number","223","units","0","v111448174","1.2.1.2.3","1874900","","","","0"
"2015","Canada (excluding territories)","","12 to 17 years","Both sexes","Positive mental health, flourishing","Percent","Percent","239","units","0","v111448175","1.2.1.2.4","86.1","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Both sexes","Positive mental health, flourishing","Low 95% confidence interval, percent","Percent","239","units","0","v111448176","1.2.1.2.5","84.7","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Both sexes","Positive mental health, flourishing","High 95% confidence interval, percent","Percent","239","units","0","v111448177","1.2.1.2.6","87.6","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Both sexes","Suicidal thoughts (15 years and over)","Number of persons","Number","223","units","0","v111448179","1.2.1.3.1","108600","","","","0"
"2015","Canada (excluding territories)","","12 to 17 years","Both sexes","Suicidal thoughts (15 years and over)","Low 95% confidence interval, number of persons","Number","223","units","0","v111448180","1.2.1.3.2","90300","","","","0"
"2015","Canada (excluding territories)","","12 to 17 years","Both sexes","Suicidal thoughts (15 years and over)","High 95% confidence interval, number of persons","Number","223","units","0","v111448181","1.2.1.3.3","127000","","","","0"
"2015","Canada (excluding territories)","","12 to 17 years","Both sexes","Suicidal thoughts (15 years and over)","Percent","Percent","239","units","0","v111448182","1.2.1.3.4","10.0","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Both sexes","Suicidal thoughts (15 years and over)","Low 95% confidence interval, percent","Percent","239","units","0","v111448183","1.2.1.3.5","8.3","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Both sexes","Suicidal thoughts (15 years and over)","High 95% confidence interval, percent","Percent","239","units","0","v111448184","1.2.1.3.6","11.7","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Males","Consultation with a health professional about emotional or mental health","Number of persons","Number","223","units","0","v111448186","1.2.2.1.1","94400","","","","0"
"2015","Canada (excluding territories)","","12 to 17 years","Males","Consultation with a health professional about emotional or mental health","Low 95% confidence interval, number of persons","Number","223","units","0","v111448187","1.2.2.1.2","73500","","","","0"
"2015","Canada (excluding territories)","","12 to 17 years","Males","Consultation with a health professional about emotional or mental health","High 95% confidence interval, number of persons","Number","223","units","0","v111448188","1.2.2.1.3","115400","","","","0"
"2015","Canada (excluding territories)","","12 to 17 years","Males","Consultation with a health professional about emotional or mental health","Percent","Percent","239","units","0","v111448189","1.2.2.1.4","8.8","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Males","Consultation with a health professional about emotional or mental health","Low 95% confidence interval, percent","Percent","239","units","0","v111448190","1.2.2.1.5","6.8","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Males","Consultation with a health professional about emotional or mental health","High 95% confidence interval, percent","Percent","239","units","0","v111448191","1.2.2.1.6","10.7","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Males","Positive mental health, flourishing","Number of persons","Number","223","units","0","v111448193","1.2.2.2.1","956500","","","","0"
"2015","Canada (excluding territories)","","12 to 17 years","Males","Positive mental health, flourishing","Low 95% confidence interval, number of persons","Number","223","units","0","v111448194","1.2.2.2.2","928500","","","","0"
"2015","Canada (excluding territories)","","12 to 17 years","Males","Positive mental health, flourishing","High 95% confidence interval, number of persons","Number","223","units","0","v111448195","1.2.2.2.3","984600","","","","0"
"2015","Canada (excluding territories)","","12 to 17 years","Males","Positive mental health, flourishing","Percent","Percent","239","units","0","v111448196","1.2.2.2.4","88.3","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Males","Positive mental health, flourishing","Low 95% confidence interval, percent","Percent","239","units","0","v111448197","1.2.2.2.5","86.3","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Males","Positive mental health, flourishing","High 95% confidence interval, percent","Percent","239","units","0","v111448198","1.2.2.2.6","90.3","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Males","Suicidal thoughts (15 years and over)","Number of persons","Number","223","units","0","v111448200","1.2.2.3.1","41100","","","","0"
"2015","Canada (excluding territories)","","12 to 17 years","Males","Suicidal thoughts (15 years and over)","Low 95% confidence interval, number of persons","Number","223","units","0","v111448201","1.2.2.3.2","29200","","","","0"
"2015","Canada (excluding territories)","","12 to 17 years","Males","Suicidal thoughts (15 years and over)","High 95% confidence interval, number of persons","Number","223","units","0","v111448202","1.2.2.3.3","52900","","","","0"
"2015","Canada (excluding territories)","","12 to 17 years","Males","Suicidal thoughts (15 years and over)","Percent","Percent","239","units","0","v111448203","1.2.2.3.4","7.3","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Males","Suicidal thoughts (15 years and over)","Low 95% confidence interval, percent","Percent","239","units","0","v111448204","1.2.2.3.5","5.2","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Males","Suicidal thoughts (15 years and over)","High 95% confidence interval, percent","Percent","239","units","0","v111448205","1.2.2.3.6","9.4","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Females","Consultation with a health professional about emotional or mental health","Number of persons","Number","223","units","0","v111448207","1.2.3.1.1","144900","","","","0"
"2015","Canada (excluding territories)","","12 to 17 years","Females","Consultation with a health professional about emotional or mental health","Low 95% confidence interval, number of persons","Number","223","units","0","v111448208","1.2.3.1.2","121900","","","","0"
"2015","Canada (excluding territories)","","12 to 17 years","Females","Consultation with a health professional about emotional or mental health","High 95% confidence interval, number of persons","Number","223","units","0","v111448209","1.2.3.1.3","167900","","","","0"
"2015","Canada (excluding territories)","","12 to 17 years","Females","Consultation with a health professional about emotional or mental health","Percent","Percent","239","units","0","v111448210","1.2.3.1.4","13.8","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Females","Consultation with a health professional about emotional or mental health","Low 95% confidence interval, percent","Percent","239","units","0","v111448211","1.2.3.1.5","11.6","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Females","Consultation with a health professional about emotional or mental health","High 95% confidence interval, percent","Percent","239","units","0","v111448212","1.2.3.1.6","16.0","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Females","Positive mental health, flourishing","Number of persons","Number","223","units","0","v111448214","1.2.3.2.1","881300","","","","0"
"2015","Canada (excluding territories)","","12 to 17 years","Females","Positive mental health, flourishing","Low 95% confidence interval, number of persons","Number","223","units","0","v111448215","1.2.3.2.2","855300","","","","0"
"2015","Canada (excluding territories)","","12 to 17 years","Females","Positive mental health, flourishing","High 95% confidence interval, number of persons","Number","223","units","0","v111448216","1.2.3.2.3","907300","","","","0"
"2015","Canada (excluding territories)","","12 to 17 years","Females","Positive mental health, flourishing","Percent","Percent","239","units","0","v111448217","1.2.3.2.4","83.9","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Females","Positive mental health, flourishing","Low 95% confidence interval, percent","Percent","239","units","0","v111448218","1.2.3.2.5","81.6","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Females","Positive mental health, flourishing","High 95% confidence interval, percent","Percent","239","units","0","v111448219","1.2.3.2.6","86.1","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Females","Suicidal thoughts (15 years and over)","Number of persons","Number","223","units","0","v111448221","1.2.3.3.1","67500","","","","0"
"2015","Canada (excluding territories)","","12 to 17 years","Females","Suicidal thoughts (15 years and over)","Low 95% confidence interval, number of persons","Number","223","units","0","v111448222","1.2.3.3.2","53300","","","","0"
"2015","Canada (excluding territories)","","12 to 17 years","Females","Suicidal thoughts (15 years and over)","High 95% confidence interval, number of persons","Number","223","units","0","v111448223","1.2.3.3.3","81800","","","","0"
"2015","Canada (excluding territories)","","12 to 17 years","Females","Suicidal thoughts (15 years and over)","Percent","Percent","239","units","0","v111448224","1.2.3.3.4","12.8","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Females","Suicidal thoughts (15 years and over)","Low 95% confidence interval, percent","Percent","239","units","0","v111448225","1.2.3.3.5","10.2","","","","1"
"2015","Canada (excluding territories)","","12 to 17 years","Females","Suicidal thoughts (15 years and over)","High 95% confidence interval, percent","Percent","239","units","0","v111448226","1.2.3.3.6","15.4","","","","1"
"2015","Canada (excluding territories)","","18 to 34 years","Both sexes","Consultation with a health professional about emotional or mental health","Number of persons","Number","223","units","0","v111448228","1.3.1.1.1","1346900","","","","0"
"2015","Canada (excluding territories)","","18 to 34 years","Both sexes","Consultation with a health professional about emotional or mental health","Low 95% confidence interval, number of persons","Number","223","units","0","v111448229","1.3.1.1.2","1252600","","","","0"
"2015","Canada (excluding territories)","","18 to 34 years","Both sexes","Consultation with a health professional about emotional or mental health","High 95% confidence interval, number of persons","Number","223","units","0","v111448230","1.3.1.1.3","1441300","","","","0"
"2015","Canada (excluding territories)","","18 to 34 years","Both sexes","Consultation with a health professional about emotional or mental health","Percent","Percent","239","units","0","v111448231","1.3.1.1.4","16.9","","","","1"
"2015","Canada (excluding territories)","","18 to 34 years","Both sexes","Consultation with a health professional about emotional or mental health","Low 95% confidence interval, percent","Percent","239","units","0","v111448232","1.3.1.1.5","15.7","","","","1"
"2015","Canada (excluding territories)","","18 to 34 years","Both sexes","Consultation with a health professional about emotional or mental health","High 95% confidence interval, percent","Percent","239","units","0","v111448233","1.3.1.1.6","18.1","","","","1"
"2015","Canada (excluding territories)","","18 to 34 years","Both sexes","Positive mental health, flourishing","Number of persons","Number","223","units","0","v111448235","1.3.1.2.1","6434400","","","","0"
"2015","Canada (excluding territories)","","18 to 34 years","Both sexes","Positive mental health, flourishing","Low 95% confidence interval, number of persons","Number","223","units","0","v111448236","1.3.1.2.2","6330900","","","","0"
"2015","Canada (excluding territories)","","18 to 34 years","Both sexes","Positive mental health, flourishing","High 95% confidence interval, number of persons","Number","223","units","0","v111448237","1.3.1.2.3","6538000","","","","0"
"2015","Canada (excluding territories)","","18 to 34 years","Both sexes","Positive mental health, flourishing","Percent","Percent","239","units","0","v111448238","1.3.1.2.4","80.5","","","","1"
"2015","Canada (excluding territories)","","18 to 34 years","Both sexes","Positive mental health, flourishing","Low 95% confidence interval, percent","Percent","239","units","0","v111448239","1.3.1.2.5","79.3","","","","1"
"2015","Canada (excluding territories)","","18 to 34 years","Both sexes","Positive mental health, flourishing","High 95% confidence interval, percent","Percent","239","units","0","v111448240","1.3.1.2.6","81.8","","","","1"
"2015","Canada (excluding territories)","","18 to 34 years","Both sexes","Suicidal thoughts (15 years and over)","Number of persons","Number","223","units","0","v111448242","1.3.1.3.1","1144200","","","","0"
"2015","Canada (excluding territories)","","18 to 34 years","Both sexes","Suicidal thoughts (15 years and over)","Low 95% confidence interval, number of persons","Number","223","units","0","v111448243","1.3.1.3.2","1061000","","","","0"
"2015","Canada (excluding territories)","","18 to 34 years","Both sexes","Suicidal thoughts (15 years and over)","High 95% confidence interval, number of persons","Number","223","units","0","v111448244","1.3.1.3.3","1227400","","","","0"
"2015","Canada (excluding territories)","","18 to 34 years","Both sexes","Suicidal thoughts (15 years and over)","Percent","Percent","239","units","0","v111448245","1.3.1.3.4","14.4","","","","1"
"2015","Canada (excluding territories)","","18 to 34 years","Both sexes","Suicidal thoughts (15 years and over)","Low 95% confidence interval, percent","Percent","239","units","0","v111448246","1.3.1.3.5","13.3","","","","1"
"2015","Canada (excluding territories)","","18 to 34 years","Both sexes","Suicidal thoughts (15 years and over)","High 95% confidence interval, percent","Percent","239","units","0","v111448247","1.3.1.3.6","15.4","","","","1"
"2015","Canada (excluding territories)","","18 to 34 years","Males","Consultation with a health professional about emotional or mental health","Number of persons","Number","223","units","0","v111448249","1.3.2.1.1","440300","","","","0"
"2015","Canada (excluding territories)","","18 to 34 years","Males","Consultation with a health professional about emotional or mental health","Low 95% confidence interval, number of persons","Number","223","units","0","v111448250","1.3.2.1.2","382000","","","","0"
"2015","Canada (excluding territories)","","18 to 34 years","Males","Consultation with a health professional about emotional or mental health","High 95% confidence interval, number of persons","Number","223","units","0","v111448251","1.3.2.1.3","498500","","","","0"
"2015","Canada (excluding territories)","","18 to 34 years","Males","Consultation with a health professional about emotional or mental health","Percent","Percent","239","units","0","v111448252","1.3.2.1.4","11.0","","","","1"
"2015","Canada (excluding territories)","","18 to 34 years","Males","Consultation with a health professional about emotional or mental health","Low 95% confidence interval, percent","Percent","239","units","0","v111448253","1.3.2.1.5","9.6","","","","1"
"2015","Canada (excluding territories)","","18 to 34 years","Males","Consultation with a health professional about emotional or mental health","High 95% confidence interval, percent","Percent","239","units","0","v111448254","1.3.2.1.6","12.5","","","","1"
"2015","Canada (excluding territories)","","18 to 34 years","Males","Positive mental health, flourishing","Number of persons","Number","223","units","0","v111448256","1.3.2.2.1","3269700","","","","0"
"2015","Canada (excluding territories)","","18 to 34 years","Males","Positive mental health, flourishing","Low 95% confidence interval, number of persons","Number","223","units","0","v111448257","1.3.2.2.2","3196600","","","","0"
"2015","Canada (excluding territories)","","18 to 34 years","Males","Positive mental health, flourishing","High 95% confidence interval, number of persons","Number","223","units","0","v111448258","1.3.2.2.3","3342800","","","","0"
"2015","Canada (excluding territories)","","18 to 34 years","Males","Positive mental health, flourishing","Percent","Percent","239","units","0","v111448259","1.3.2.2.4","81.8","","","","1"
"2015","Canada (excluding territories)","","18 to 34 years","Males","Positive mental health, flourishing","Low 95% confidence interval, percent","Percent","239","units","0","v111448260","1.3.2.2.5","80.0","","","","1"
"2015","Canada (excluding territories)","","18 to 34 years","Males","Positive mental health, flourishing","High 95% confidence interval, percent","Percent","239","units","0","v111448261","1.3.2.2.6","83.5","","","","1"
"2015","Canada (excluding territories)","","18 to 34 years","Males","Suicidal thoughts (15 years and over)","Number of persons","Number","223","units","0","v111448263","1.3.2.3.1","487500","","","","0"
"2015","Canada (excluding territories)","","18 to 34 years","Males","Suicidal thoughts (15 years and over)","Low 95% confidence interval, number of persons","Number","223","units","0","v111448264","1.3.2.3.2","434100","","","","0"
"2015","Canada (excluding territories)","","18 to 34 years","Males","Suicidal thoughts (15 years and over)","High 95% confidence interval, number of persons","Number","223","units","0","v111448265","1.3.2.3.3","541000","","","","0"
"2015","Canada (excluding territories)","","18 to 34 years","Males","Suicidal thoughts (15 years and over)","Percent","Percent","239","units","0","v111448266","1.3.2.3.4","12.2","","","","1"
"2015","Canada (excluding territories)","","18 to 34 years","Males","Suicidal thoughts (15 years and over)","Low 95% confidence interval, percent","Percent","239","units","0","v111448267","1.3.2.3.5","10.9","","","","1"
"2015","Canada (excluding territories)","","18 to 34 years","Males","Suicidal thoughts (15 years and over)","High 95% confidence interval, percent","Percent","239","units","0","v111448268","1.3.2.3.6","13.6","","","","1"
"2015","Canada (excluding territories)","","18 to 34 years","Females","Consultation with a health professional about emotional or mental health","Number of persons","Number","223","units","0","v111448270","1.3.3.1.1","906700","","","","0"
"2015","Canada (excluding territories)","","18 to 34 years","Females","Consultation with a health professional about emotional or mental health","Low 95% confidence interval, number of persons","Number","223","units","0","v111448271","1.3.3.1.2","834400","","","","0"
"2015","Canada (excluding territories)","","18 to 34 years","Females","Consultation with a health professional about emotional or mental health","High 95% confidence interval, number of persons","Number","223","units","0","v111448272","1.3.3.1.3","978900","","","","0"
"2015","Canada (excluding territories)","","18 to 34 years","Females","Consultation with a health professional about emotional or mental health","Percent","Percent","239","units","0","v111448273","1.3.3.1.4","22.7","","","","1"
"2015","Canada (excluding territories)","","18 to 34 years","Females","Consultation with a health professional about emotional or mental health","Low 95% confidence interval, percent","Percent","239","units","0","v111448274","1.3.3.1.5","20.9","","","","1"
"2015","Canada (excluding territories)","","18 to 34 years","Females","Consultation with a health professional about emotional or mental health","High 95% confidence interval, percent","Percent","239","units","0","v111448275","1.3.3.1.6","24.5","","","","1"
"2015","Canada (excluding territories)","","18 to 34 years","Females","Positive mental health, flourishing","Number of persons","Number","223","units","0","v111448277","1.3.3.2.1","3164700","","","","0"
"2015","Canada (excluding territories)","","18 to 34 years","Females","Positive mental health, flourishing","Low 95% confidence interval, number of persons","Number","223","units","0","v111448278","1.3.3.2.2","3092400","","","","0"
